"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "TypeScript", "Markdown", "XML", "comment", "blank", "total"
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/StreakCard.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 19, 82
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/Surface.tsx", "TypeScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 16, 119
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/Text.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 12, 80
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/Textfield.tsx", "TypeScript JSX", 0, 0, 0, 126, 0, 0, 0, 16, 12, 154
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/VerifiedBadge.tsx", "TypeScript JSX", 0, 0, 0, 126, 0, 0, 0, 16, 12, 154
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/WorkRoomCard.tsx", "TypeScript JSX", 0, 0, 0, 497, 0, 0, 0, 42, 108, 647
"/home/anonymous/Documents/Projects/SkillHive-mobile/constants/colors.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 13, 4, 59
"/home/anonymous/Documents/Projects/SkillHive-mobile/constants/tokens.ts", "TypeScript", 0, 0, 0, 0, 250, 0, 0, 62, 14, 326
"/home/anonymous/Documents/Projects/SkillHive-mobile/eas.json", "JSON with Comments", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/anonymous/Documents/Projects/SkillHive-mobile/eslint.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/profileContext.tsx", "TypeScript JSX", 0, 0, 0, 140, 0, 0, 0, 0, 27, 167
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/sessionPhase.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 1, 8, 48
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useActiveRooms.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 10, 54
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useCurrentUser.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 9, 38
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useCustomAlert.ts", "TypeScript", 0, 0, 0, 0, 191, 0, 0, 19, 18, 228
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useRoomPresence.ts", "TypeScript", 0, 0, 0, 0, 117, 0, 0, 1, 17, 135
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useRoomSession.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 3, 9, 73
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useSignOut.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useSocialAuth.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 13, 71
"/home/anonymous/Documents/Projects/SkillHive-mobile/hooks/useTheme.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 14, 6, 60
"/home/anonymous/Documents/Projects/SkillHive-mobile/lib/supabase.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 3, 6, 45
"/home/anonymous/Documents/Projects/SkillHive-mobile/package-lock.json", "JSON", 0, 0, 14090, 0, 0, 0, 0, 0, 1, 14091
"/home/anonymous/Documents/Projects/SkillHive-mobile/package.json", "JSON", 0, 0, 67, 0, 0, 0, 0, 0, 1, 68
"/home/anonymous/Documents/Projects/SkillHive-mobile/tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/anonymous/Documents/Projects/SkillHive-mobile/types/index.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 0, 32, 10, 129
"/home/anonymous/Documents/Projects/SkillHive-mobile/utils/formatter.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 9, 11, 75
"Total", "-", 84, 8, 14157, 9451, 1091, 31, 8, 469, 1278, 26577
